Instance,Objective Value,Optimality,Nodes Expanded,Nodes Generated,Total Times (s),Bridging Time (s),Python Bound Time (s)
98.txt,356.0,False,3194184,6733187,1867.2387435436249,1377.5415,1236.5779972028304
91.txt,365.0,False,3875492,7884474,1890.916320562363,1298.7668,1133.0604042896994
18.txt,384.0,False,4026838,8323522,1898.4728484153748,1273.9733,1093.7823529928337
12.txt,399.0,False,3117551,6149198,1911.5295722484589,1271.3586,1111.3439088860905
49.txt,360.0,False,197344,539376,1802.1894402503967,1713.1169,1679.7211585019504
99.txt,322.0,False,1962200,4417585,1835.0727169513705,1522.2288,1430.59417042914
85.txt,371.0,False,3498592,7289989,1867.8595452308653,1364.555,1216.5472067747614
26.txt,389.0,False,3180597,6518378,1888.466757297516,1361.6215,1219.8635556844238
1.txt,390.0,False,3069154,5093271,1908.576951742172,1320.4602,1164.9737972080766
53.txt,425.0,False,4037053,8145516,1895.714600563049,1271.2543,1097.345669200979
86.txt,371.0,False,4121349,7763349,1958.3355479240413,1244.4946,1068.2294242985486
95.txt,371.0,False,4438945,8555854,1927.071944236756,1262.3738,1084.11765200204
19.txt,400.0,False,3393691,7111261,1858.2845652103424,1378.7864,1236.573647403926
21.txt,367.0,False,456264,1226039,1803.7621841430664,1696.9965,1667.2318616024586
84.txt,374.0,False,251521,645696,1802.155907869339,1726.2525,1699.90137569941
29.txt,389.0,False,3405265,6772792,1859.7600224018097,1363.0945,1217.7916761043198
47.txt,317.0,False,3434064,6974570,1864.3383152484887,1365.8917,1219.5386998951617
71.txt,413.0,False,1983234,4352350,1835.2992975711825,1506.2639,1410.8406634123712
5.txt,424.0,False,495832,1220170,1805.2262670993805,1688.6748,1649.798016196386
30.txt,393.0,False,2007119,4604208,1837.045018196106,1495.5477,1398.7921326005926
