Instance,Cost,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
11.txt,574.0,7004591,28584172,1802.4544277191162,False (Time Limit),False
14.txt,587.0,7261786,28417567,1800.4468240737915,False (Time Limit),False
22.txt,652.0,7281788,29879535,1801.0855786800385,False (Time Limit),False
31.txt,557.0,7709655,30644928,1801.3268420696259,False (Time Limit),False
33.txt,679.0,7967678,33165872,1801.018515586853,False (Time Limit),False
39.txt,527.0,8682586,33649618,1800.7757046222687,False (Time Limit),False
4.txt,657.0,7250502,29142441,1801.0951602458954,False (Time Limit),False
46.txt,592.0,7027545,27943684,1801.498275756836,False (Time Limit),False
48.txt,584.0,7103117,28471567,1801.3498933315277,False (Time Limit),False
50.txt,597.0,7449154,30710103,1802.103266954422,False (Time Limit),False
52.txt,634.0,6267422,24600685,1804.5125465393066,False (Time Limit),False
53.txt,571.0,7238958,29643771,1801.9486174583435,False (Time Limit),False
54.txt,553.0,7554678,29704641,1800.4314303398132,False (Time Limit),False
59.txt,537.0,7580371,30285227,1801.1314346790314,False (Time Limit),False
61.txt,633.0,7434889,30414037,1801.3186297416687,False (Time Limit),False
75.txt,550.0,7627007,31781524,1801.4113547801971,False (Time Limit),False
