Instance,Cost,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility,Best Known Cost
11.txt,574,7004591,28584172,1802.4544277191162,False (Time Limit),FALSE,574
14.txt,587,7261786,28417567,1800.4468240737915,False (Time Limit),FALSE,575
22.txt,652,7281788,29879535,1801.0855786800385,False (Time Limit),FALSE,599
31.txt,557,7709655,30644928,1801.3268420696259,False (Time Limit),FALSE,538
33.txt,679,7967678,33165872,1801.018515586853,False (Time Limit),FALSE,624
39.txt,527,8682586,33649618,1800.7757046222687,False (Time Limit),FALSE,527
4.txt,657,7250502,29142441,1801.0951602458954,False (Time Limit),FALSE,602
46.txt,592,7027545,27943684,1801.498275756836,False (Time Limit),FALSE,576
48.txt,584,7103117,28471567,1801.3498933315277,False (Time Limit),FALSE,550
50.txt,597,7449154,30710103,1802.103266954422,False (Time Limit),FALSE,577
52.txt,634,6267422,24600685,1804.5125465393066,False (Time Limit),FALSE,607
53.txt,571,7238958,29643771,1801.9486174583435,False (Time Limit),FALSE,555
54.txt,553,7554678,29704641,1800.4314303398132,False (Time Limit),FALSE,552
59.txt,537,7580371,30285227,1801.1314346790314,False (Time Limit),FALSE,537
61.txt,633,7434889,30414037,1801.3186297416687,False (Time Limit),FALSE,600
75.txt,550,7627007,31781524,1801.4113547801971,False (Time Limit),FALSE,550
78.txt,609,7256800,29528683,1801.0977585315704,False (Time Limit),FALSE,551
79.txt,632,7343640,28240207,1801.028921842575,False (Time Limit),FALSE,599
87.txt,625,7267136,29355453,1801.4600868225098,False (Time Limit),FALSE,588
89.txt,550,7535998,31029940,1800.6029679775238,False (Time Limit),FALSE,529
